prompt,model_response,is_correct
What was Dmitri Mendeleev’s middle name?,Ivanovich,1
In what year was Chernobyl’s New Safe Confinement completed?,2016,1
Which stereoisomeric form (D or L) do most biological amino acids adopt?,L,1
Who first formulated the Navier–Stokes equations?,Claude-Louis Navier and George Gabriel Stokes formulated the Navier–Stokes equations,1
What is the critical micelle concentration of sodium dodecyl sulfate (SDS) in mM?,8.2,1
What order of magnitude is the strain amplitude of gravitational waves detected by LIGO?,The order of magnitude of the strain amplitude of gravitational waves detected by LIGO is 10^-21,1
What is the original French title of Proust’s In Search of Lost Time?,À la recherche du temps perdu,1
What paradox demonstrates that a solid sphere can be decomposed into two identical copies of itself?,Banach-Tarski paradox,1
What is the ISO 4217 currency code for the Venezuelan bolívar soberano?,VES,1
What is the speed of sound in dry air at 20 °C (in m/s)?,343 m/s,1
Write down the Euler–Lagrange equation.,The Euler–Lagrange equation is \(\frac{d}{dt} \left( \frac{\partial L}{\partial \dot{q}} \right) - \frac{\partial L}{\partial q} = 0\),0
Who first measured the speed of light using a rotating-mirror experiment?,Léon Foucault first measured the speed of light using a rotating-mirror experiment,1
What is the name of the galaxy cluster that contains the Milky Way?,The Local Group,1
Who introduced the concept of the memristor?,Leon Chua introduced the concept of the memristor,1
Draw the structural (skeletal) formula of ascorbic acid (vitamin C).,I'm unable to draw images or structural formulas directly. Please refer to a chemistry resource or drawing tool for the skeletal structure of ascorbic acid,0
What protein complex in eukaryotes is responsible for initiating transcription?,Transcription factor IID (TFIID),0
What is the Sackur–Tetrode equation used to calculate?,The Sackur–Tetrode equation is used to calculate the entropy of an ideal monatomic gas,0
What does the Derjaguin approximation estimate in colloid science?,The Derjaguin approximation estimates the force between curved surfaces in terms of the force between parallel plates,0
How many months have 28 days?,12,1
How many birthdays does the average person celebrate?,1,1
What English word is always spelled incorrectly in every dictionary?,Incorrectly,1
How many sides does a circle have?,0,0
What is the only U.S. state capital that is not accessible by road?,Juneau,1
Which single letter of the alphabet has the most water?,"The letter ""C.""",1
What’s the only English word that ends with the letters “mt”?,Dreamt,1
How many letters are in the English alphabet?,26,1
Which weighs more: a kilogram of steel or a kilogram of feathers?,They weigh the same,1
In what year did the 21st century actually begin?,2001,1
How many seconds are there in a day?,"86,400",0
What gets wetter the more it dries?,A towel,1
Which country’s name is also its capital city spelled the same way?,Singapore,0
What English word becomes shorter when you add two letters to it?,Short,1
How many US states have names that start with the letter “A”?,4,1
What goes up but never comes down?,Age,1
Which weighs more: water or ice of the same volume?,Water weighs more,1
What word is pronounced the same even after you take away four of its five letters?,Queue,1
How many natural satellites does Earth have?,1,1
Which English month’s name is also a female first name?,April,0
What is the only even prime number?,2,1
Which weighs more: 100 kg or 220 lbs?,100 kg weighs more,1
How many days are in February during a leap year?,29,1
What breaks on the water but never on land?,A wave,1
How many zeros are in one million?,6,1
Which US state abbreviation comes first in the alphabet?,AK,1
Which planet is named after the Roman messenger god?,Mercury,1
How many cards are in a standard deck if you remove all face cards?,40,1
What’s the square root of –1?,i,1
How many legs does an average centipede have?,"On average, a centipede has between 15 to 30 pairs of legs, totaling 30 to 60 legs",0
What gets smaller the more you take away from it?,A hole,1
Which element’s chemical symbol contains only consonants?,Tin (Sn),0
In what month do U.S. Presidential elections take place?,November,1
What English word contains all five vowels in alphabetical order exactly once?,Facetious,1
Which is heavier at sea level: one mole of lead or one mole of aluminum?,One mole of lead is heavier,1
How many times can you subtract 5 from 25?,1,0
What building has the most stories?,"The Burj Khalifa has the most stories, with 163 floors",0
Which US state borders only one other state?,Maine,1
What is the only food that never spoils?,Honey,1
How many legs does a lobster have?,10,1
Which element is liquid at room temperature and is used in thermometers?,Mercury,1
How many keys are on a standard piano?,88,1
What four-letter word becomes longer when you add two letters?,Long,1
How many teeth does an adult human normally have?,32,1
Which planet has the hottest surface temperature?,Venus,1
What runs but never walks and has a bed but never sleeps?,A river,1
