prompt,model_response,is_correct
"What word is spelled the same forwards, backwards, and upside down?","The word ""forward"" is spelled backwards.",0
Which planet is named after the Roman messenger god?,"The Roman messenger god is named after the Roman god, the Roman god of the Roman Empire.",0
How many cards are in a standard deck if you remove all face cards?,The number of cards in a standard deck is determined by the number of cards in the deck.,0
What’s the square root of –1?,The square root of –1 is the square root of the square root of the square root of the square root of the square root of the square root of the square root of the square root of the square root of the square root of the square root,0
How many legs does an average centipede have?,The average centipede has about 1.5 legs.,0
What gets smaller the more you take away from it?,"The more you take away from it, the more you will be able to understand it.",0
Which element’s chemical symbol contains only consonants?,The chemical symbol is the same as the chemical symbol in the dictionary.,0
In what month do U.S. Presidential elections take place?,November.,0
What English word contains all five vowels in alphabetical order exactly once?,"The word ""English"" is a combination of the words ""English"" and ""English"" in the English alphabet.",0
Which is heavier at sea level: one mole of lead or one mole of aluminum?,The answer is the same as the answer to the question.,0
How many times can you subtract 5 from 25?,You can subtract 5 from 25 by adding 5 to 25.,0
What building has the most stories?,The most stories are the ones that are most important to you.,0
Which US state borders only one other state?,The US is the only country in the world that does not have a border with Mexico.,0
What is the only food that never spoils?,The only food that never spoils is the chicken.,0
How many legs does a lobster have?,It is a very small lobster.,0
Which element is liquid at room temperature and is used in thermometers?,The liquid at room temperature is the liquid that is used in thermometers.,0
How many keys are on a standard piano?,The number of keys on a standard piano is 1.,0
What four-letter word becomes longer when you add two letters?,The answer is:,0
How many teeth does an adult human normally have?,"The average adult human has about 1,000 teeth.",0
Which planet has the hottest surface temperature?,Earth.,0
"What runs but never walks, has a bed but never sleeps?",The answer is that the answer is not the same as the answer.,0
What is the official IUPAC name of element 113?,"The IUPAC name of element 113 is ""IUPAC"".",0
What is the SCOPUS Source ID for the journal Science?,The SCOPUS Source ID is a unique identifier for the journal Science. It is used to identify the journal Science's journals.,0
In which year did the EU’s GDPR come into force?,In the year 2000.,0
What is the pKa of acetic acid (CH₃COOH)?,Acetic acid is a compound that is found in many foods and beverages. It is a natural compound that is found in many foods and beverages. It is a natural compound that is found in many foods and beverages. It is a natural compound that is,0
Who first proposed the Chandrasekhar limit?,The Supreme Court of India.,0
What does the Gödel metric describe in general relativity?,The Gödel metric is a measure of the speed of light. It is the measure of the speed of light in a given direction.,0
"Approximately how long, in minutes, is Beethoven’s Symphony No. 9?",Approximately 10 minutes.,0
What is the annual parallax of Proxima Centauri in arcseconds?,The parallax of Proxima Centauri is the distance between the Sun and the Sun at the equator. The parallax of Proxima Centauri is the distance between the Sun and the Sun at the equator.,0
How is the IPv6 loopback address written in full hexadecimal?,The IPv6 loopback address is written in full hexadecimal.,0
"Who composed the 24 Preludes, Op. 28, for solo piano?","The 24 Preludes were composed by the same composer, and were composed by the same composer.",0
At what altitude (in km) is the Kármán line defined?,The Kármán line is defined as the line between the two poles of the Earth. The Kármán line is defined as the line between the two poles of the Earth.,0
Which treaty ended the Russo-Japanese War?,The Russo-Japanese War ended in 1945.,0
How many days difference existed between the Julian and Gregorian calendars in 1582?,The Julian calendar was the first to have a calendar that was based on the Gregorian calendar. The Gregorian calendar was based on the Julian calendar.,0
What is the common (trivial) name for butan-2-ol?,Butan-2-ol is a name for butan-2-ol.,0
Who first formulated the principle of least action?,The principle of least action was first formulated by the French philosopher Jean-Jacques Rousseau.,0
"What is the exact value of ζ(2), the Riemann zeta function at 2?",ζ(2) is the Riemann zeta function at 2.,0
What is the UN M49 numeric code for “Western Europe”?,The UN M49 numeric code for “Western Europe” is the same as the UN M49 code for “Western Europe”.,0
Who first detected the cosmic microwave background radiation?,The first person to detect the cosmic microwave background radiation was the first person to detect the cosmic microwave background radiation.,0
What is the Baudot code used for?,"The Baudot code is a simple, yet powerful, way to create a simple quiz. It is used to create a simple quiz that is easy to understand and easy to use.",0
What are the latitude and longitude (in degrees) of the Geographic South Pole?,The latitude and longitude of the Geographic South Pole is the latitude and longitude of the United States.,0
Who first synthesized buckminsterfullerene (C₆₀)?,The first synthesized buckminsterfullerene (C₆₀) was synthesized by the French chemist Pierre-Joseph de Coubertin in 1859. The first synthesized buckminsterfullerene (C₆,0
State the Hardy–Weinberg equilibrium equation.,The Hardy–Weinberg equilibrium equation is a simple equation that is used to calculate the equilibrium of a given set of variables. It is a simple equation that is used to calculate the equilibrium of a given set of variables. It is a simple,0
Who coined the term “Big Bang” (pejoratively)?,"The term was coined by the late physicist and physicist, Albert Einstein.",0
What is the standard atomic mass of deuterium?,The standard atomic mass of deuterium is 1.5 times that of uranium.,0
What does the acronym “LIDAR” stand for?,"“LIDAR” is a Latin word meaning ""to be able to see."" It is used to describe the ability to see in a way that is not possible with other senses.",0
What is the molar mass of glucose (C₆H₁₂O₆)?,The molar mass of glucose is the sum of the two components of glucose.,0
What is the Euler characteristic of a torus?,The torus is a torus that is a torus that is a torus that is a torus that is a torus that is a torus that is a torus that is a torus that is a torus that is a,0
Who first posed the P vs NP problem?,"The P vs NP problem was first posed by the mathematician and mathematician, John von Neumann. The problem was first posed by the mathematician and mathematician, John von Neumann.",0
What economic measure represents the total value of goods/services produced within a nation’s borders in a year?,The total value of goods/services produced within a nation’s borders in a year.,0
What is the formal name of the 1935 U.S. “Wagner Act”?,The 1935 Wagner Act was a federal law that required the federal government to provide information about the status of certain industries. The Act was passed in 1935 and was signed into law by President Franklin Roosevelt.,0
Explain the difference between a cyclone and an anticyclone.,"The cyclone is a cyclone that is traveling at a speed of about 1,000 mph. The anticyclone is a cyclone that is traveling at a speed of about 1,000 mph.",0
What was Dmitri Mendeleev’s middle name?,"Dmitri Mendeleev was born in Moscow, Russia, on March 1, 1887. He was a member of the Russian Communist Party, the Communist Party of the Soviet Union, and the Communist Party of the United States of America.",0
In what year was Chernobyl’s New Safe Confinement completed?,1986-1987.,0
Which stereoisomeric form (D or L) do most biological amino acids adopt?,D is the most common form of amino acid. L is the most common form of amino acid.,0
Who first formulated the Navier–Stokes equations?,"The first person who formulated the Navier–Stokes equations was the mathematician and mathematician, John Navier.",0
What is the critical micelle concentration of sodium dodecyl sulfate (SDS) in mM?,SDS is a chemical compound that is found in many foods and beverages. It is a chemical compound that is found in many foods and beverages. It is a chemical compound that is found in many foods and beverages. It is a chemical compound that is,0
What order of magnitude is the strain amplitude of gravitational waves detected by LIGO?,The gravitational waves detected by LIGO are very small. The gravitational waves detected by LIGO are very strong. The gravitational waves detected by LIGO are very strong.,0
What is the original French title of Proust’s In Search of Lost Time?,Proust is a French term for a person who has lost time.,0
What paradox demonstrates that a solid sphere can be decomposed into two identical copies of itself?,The paradox is that a solid sphere can be decomposed into two identical copies of itself.,0
What is the ISO 4217 currency code for the Venezuelan bolívar soberano?,The ISO 4217 currency code is the official currency of the Venezuelan government.,0
What is the speed of sound in dry air at 20 °C (in m/s)?,The speed of sound in dry air at 20 °C (in m/s) is about 1.5 m/s.,0
Write down the Euler–Lagrange equation.,The Euler–Lagrange equation is the most common equation in mathematics. It is the most common equation in the world. It is the most common equation in the world. It is the most common equation in the world. It is the most,0
Who first measured the speed of light using a rotating-mirror experiment?,The first measurement of the speed of light was made by the first person who measured the speed of light using a rotating-mirror experiment.,0
What is the name of the galaxy cluster that contains the Milky Way?,The Milky Way is a small galaxy cluster located in the constellation of Sagittarius. The Milky Way is the largest galaxy in the Milky Way cluster.,0
"For an ellipse with eccentricity 0.5, what is the ratio of its circumference to its major-axis length (approximate)?",The ratio of its circumference to its major-axis length is 0.5.,0
Who introduced the concept of the memristor?,"The concept of the memristor was introduced by the late Dr. John C. St. John in 1859. He was a professor of psychology at the University of California, Berkeley. He was a member of the American Psychological Association and the American",0
Draw the structural (skeletal) formula of ascorbic acid (vitamin C).,The formula is derived from the formula of vitamin C.,0
What protein complex in eukaryotes is responsible for initiating transcription?,The protein complex in eukaryotes is the protein complex that is responsible for initiating transcription. The protein complex is a protein that is responsible for initiating transcription. The protein complex is a protein that is responsible for initiating transcription. The protein complex is a,0
What is the Sackur–Tetrode equation used to calculate?,The Sackur–Tetrode equation is a mathematical equation that is used to calculate the number of times a given number of particles are added to a given mass. The Sackur–Tetrode equation is used to calculate the number of,0
What does the Derjaguin approximation estimate in colloid science?,The Derjaguin approximation is the sum of the two estimates of the colloid. The Derjaguin approximation is the sum of the two estimates of the colloid.,0
