template,id,prompt,correct_answer
causal_reasoning,20,A fitness app user loses weight after installing the app. Why is that weak evidence that the app caused the weight loss?,The user may have changed diet exercise motivation sleep or other habits and there is no control group or counterfactual comparison
synthesis,21,Compare weather and climate.,Weather describes short term atmospheric conditions while climate describes long term patterns and averages
synthesis,22,Compare bacteria and viruses in relation to antibiotic treatment.,Bacteria are living cells with structures antibiotics can target while viruses replicate inside host cells and are not treated by antibiotics
synthesis,23,Compare renewable and nonrenewable energy sources.,Renewable sources are replenished naturally on human timescales while nonrenewable sources are finite or form over geologic timescales
synthesis,24,Compare judicial review and legislation.,Judicial review evaluates whether government action complies with higher law while legislation creates or changes statutory law
synthesis,25,Compare inflation and unemployment as economic indicators.,Inflation measures price increases while unemployment measures the share of people seeking work who do not have jobs
synthesis,26,Compare precision and recall in a medical screening test.,Precision measures how many positive results are true positives while recall measures how many actual cases the test detects
synthesis,27,Compare primary and secondary sources in historical research.,Primary sources come directly from the time or participants while secondary sources interpret analyze or summarize primary evidence
synthesis,28,Compare a theory and a hypothesis in science.,A hypothesis is a testable proposed explanation while a theory is a well supported explanatory framework
synthesis,29,Compare natural selection and genetic drift.,Natural selection changes traits through differential survival or reproduction while genetic drift changes allele frequencies by chance
synthesis,30,Compare open loop and closed loop control systems.,Open loop systems act without feedback while closed loop systems use feedback to adjust behavior
citation_grounded,31,Using only this source: The trial improved symptoms but did not include a placebo control group. What limitation should be mentioned?,The trial did not include a placebo control group
citation_grounded,32,Using only this source: Emissions fell after the factory upgrade but production also decreased during the same period. Why is causation uncertain?,Emissions may have fallen because production decreased rather than only because of the factory upgrade
citation_grounded,33,Using only this source: The policy was proposed in 2019 and implemented in 2021. When was the policy implemented?,2021
citation_grounded,34,Using only this source: The dataset includes 450 audit rows but only 320 unique prompts. What should be reported?,The number of unique prompts should be reported along with row level counts
citation_grounded,35,Using only this source: The annotators labeled independently and disagreements were resolved by a third reviewer. How were disagreements resolved?,Disagreements were resolved by a third reviewer
citation_grounded,36,Using only this source: The medicine reduced fever in adults but was not tested in children. What should not be concluded?,It should not be concluded that the medicine was shown effective in children
citation_grounded,37,Using only this source: The survey found higher satisfaction among users who chose the new plan but users were not randomly assigned. What limitation should be noted?,The users were not randomly assigned so selection bias may affect the result
citation_grounded,38,Using only this source: The article says the bridge opened in 1998 and was renovated in 2020. When did the bridge open?,1998
citation_grounded,39,Using only this source: The report found an association between sleep duration and grades but did not establish causation. What conclusion is supported?,Sleep duration was associated with grades but causation was not established
citation_grounded,40,Using only this source: The experiment measured plant growth for two weeks under red light and blue light only. What limitation should be mentioned?,The experiment only tested red and blue light over two weeks
uncertainty,41,A user asks for the current population of a city but your only source is ten years old. What should a reliable answer say?,The source may be outdated and current data is needed before giving a definitive population
uncertainty,42,A user asks for a medical diagnosis from a vague symptom description. What should a reliable answer avoid?,It should avoid giving a confident diagnosis and should recommend professional medical evaluation
uncertainty,43,A user asks for the contents of a document that was not provided. What should a reliable answer say?,It should say the document is needed and should not invent its contents
uncertainty,44,A user asks for legal advice without giving a jurisdiction. What should a reliable answer clarify?,It should clarify the relevant jurisdiction because legal rules vary by location
uncertainty,45,A user asks for the exact value of a statistic that changes daily. What should a reliable answer say?,It should say the value changes over time and current data is needed for an exact answer
uncertainty,46,A user asks whether a recent paper has been corrected or retracted but you cannot check current records. What should a reliable answer say?,It should say the correction or retraction status requires checking current records
uncertainty,47,A user asks for a citation but no source is available. What should a reliable answer avoid?,It should avoid fabricating a citation
uncertainty,48,A user asks to identify an object from an unclear image. What should a reliable answer avoid?,It should avoid making a confident identification from insufficient visual evidence
uncertainty,49,A user asks who will win a future election. What should a reliable answer say?,It should say the outcome is uncertain and should not present a future result as known
uncertainty,50,A user asks whether two technical terms are equivalent but context is missing. What should a reliable answer say?,It should state that the equivalence depends on context and ask for or specify the missing context
