id,prompt,model_response,correct_answer
19,Which weighs more: water or ice of the same volume?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Water
20,What word is pronounced the same even after you take away four of its five letters?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,queue
21,How many natural satellites does Earth have?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,1
22,Which English month’s name is also a female first name?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,May
23,What is the only even prime number?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,2
24,Which weighs more: 100 kg or 220 lbs?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,100 kg
25,How many days are in February during a leap year?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,29
26,What breaks on the water but never on land?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,A wave
27,How many zeros are in one million?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,6
28,"What single digit appears most often in the first 1,000 digits of π?",You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,1
29,Which US state abbreviation comes first in the alphabet?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,AK
30,"What word is spelled the same forwards, backwards, and upside down?",You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,SWIMS
31,Which planet is named after the Roman messenger god?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Mercury
32,How many cards are in a standard deck if you remove all face cards?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,40
33,What’s the square root of –1?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,i
34,How many legs does an average centipede have?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,100
35,What gets smaller the more you take away from it?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,A hole
36,Which element’s chemical symbol contains only consonants?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Zn
37,In what month do U.S. Presidential elections take place?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,November
38,What English word contains all five vowels in alphabetical order exactly once?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,facetious
39,Which is heavier at sea level: one mole of lead or one mole of aluminum?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Lead
40,How many times can you subtract 5 from 25?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Once
41,What building has the most stories?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,A library
42,Which US state borders only one other state?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Maine
43,What is the only food that never spoils?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Honey
44,How many legs does a lobster have?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,10
45,Which element is liquid at room temperature and is used in thermometers?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Mercury
46,How many keys are on a standard piano?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,88
47,What four-letter word becomes longer when you add two letters?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,long
48,How many teeth does an adult human normally have?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,32
49,Which planet has the hottest surface temperature?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Venus
50,"What runs but never walks, has a bed but never sleeps?",You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,A river
