audit_item_id,benchmark_phase,source_file,template,prompt_id,prompt,correct_answer,model_response,detector_label,annotator_count,annotators_blinded_to_detector_output,annotators_blinded_to_model_identity,annotator_1_id,annotator_1_label,annotator_1_rationale,annotator_2_id,annotator_2_label,annotator_2_rationale,annotator_agreement,adjudicator_id,adjudication_procedure,adjudicated_label,adjudicated_explicit_contradiction,adjudicated_semantic_failure,adjudication_rationale,prompt_hash,response_hash,prompt_response_hash,unique_prompt_id,is_duplicate_prompt_in_audit,is_duplicate_prompt_response_in_audit,audit_prompt_occurrence_count,audit_prompt_response_occurrence_count,raw_corpus_prompt_occurrence_count,raw_corpus_prompt_response_occurrence_count,cluster_id,row_independence_unit,audit_expansion_group,reasoning,detector_component,model_endpoint,run_id,baseline_exact,baseline_embed,baseline_embed_score,baseline_embed_method
AUD0012,old_atomic_original,responses_labeled_factual.csv,chemistry,44,What is the standard atomic mass of deuterium?,2.014102,2.014 amu,not_contradiction,2,yes,yes,H1_ANNOTATOR,supported,Response is consistent with the reference answer under the explicit-contradiction review pass.,H2_ANNOTATOR,incomplete_or_vacuous,"Response is empty, vague, partial, or semantically inadequate in the second annotator review.",no,H3_ADJUDICATOR,"Disagreements were resolved by comparing the prompt, reference answer, and model response using the written codebook; explicit conflicts were labeled contradiction, empty/vague outputs incomplete_or_vacuous, safe refusals abstention, and correct core answers with false extra claims unsupported_extra_claim.",supported,False,False,Rounded deuterium atomic mass is consistent with the reference.,53e563bf3d4c5b32,791d840ffacf3706,0e2b491e66231581,old_atomic_original__responses_labeled_factual.csv__44,yes,no,3,1,20.0,5.0,old_atomic_original__responses_labeled_factual.csv__44,unique_prompt_id,original_850,,,,,,,,
AUD0013,old_atomic_original,responses_labeled_auto-generated.csv,astronomy,29,"What is the name of the region in space where the gravity of the Sun and a planet balance out, allowing for stable orbits of small objects, often hosting trojans?",lagrange points,Lagrange Point 5,not_contradiction,2,yes,yes,H1_ANNOTATOR,supported,Response is consistent with the reference answer under the explicit-contradiction review pass.,H2_ANNOTATOR,supported,Response is consistent with the reference answer in the second annotator review.,yes,H3_ADJUDICATOR,"Disagreements were resolved by comparing the prompt, reference answer, and model response using the written codebook; explicit conflicts were labeled contradiction, empty/vague outputs incomplete_or_vacuous, safe refusals abstention, and correct core answers with false extra claims unsupported_extra_claim.",supported,False,False,"Reviewed against prompt, reference, and model response; existing label remained appropriate.",337244dc0f3e3756,be9d395e249f423e,1d06ae3f5231f82b,old_atomic_original__responses_labeled_auto-generated.csv__29,yes,no,3,1,1.0,1.0,old_atomic_original__responses_labeled_auto-generated.csv__29,unique_prompt_id,original_850,,,,,,,,
AUD0014,old_atomic_original,responses_labeled_riddle.csv,language,20,Which five letter word can lose four letters leaving one letter with the same pronunciation?,queue,Queue,not_contradiction,2,yes,yes,H1_ANNOTATOR,supported,Response is consistent with the reference answer under the explicit-contradiction review pass.,H2_ANNOTATOR,supported,Response is consistent with the reference answer in the second annotator review.,yes,H3_ADJUDICATOR,"Disagreements were resolved by comparing the prompt, reference answer, and model response using the written codebook; explicit conflicts were labeled contradiction, empty/vague outputs incomplete_or_vacuous, safe refusals abstention, and correct core answers with false extra claims unsupported_extra_claim.",supported,False,False,Response matches or directly paraphrases the reference answer.,9eb218bb2d6429c6,3b2fe03e36893916,c6ed86f7788cfd47,old_atomic_original__responses_labeled_riddle.csv__20,yes,yes,3,3,20.0,18.0,old_atomic_original__responses_labeled_riddle.csv__20,unique_prompt_id,original_850,,,,,,,,
AUD0015,old_atomic_original,responses_labeled_riddle.csv,geography,15,Name the only sovereign state whose official form is a Grand Duchy.,Luxembourg,Luxembourg,not_contradiction,2,yes,yes,H1_ANNOTATOR,supported,Response is consistent with the reference answer under the explicit-contradiction review pass.,H2_ANNOTATOR,supported,Response is consistent with the reference answer in the second annotator review.,yes,H3_ADJUDICATOR,"Disagreements were resolved by comparing the prompt, reference answer, and model response using the written codebook; explicit conflicts were labeled contradiction, empty/vague outputs incomplete_or_vacuous, safe refusals abstention, and correct core answers with false extra claims unsupported_extra_claim.",supported,False,False,Response matches or directly paraphrases the reference answer.,b96fc20bb3109e4f,ed76f191621cf6ed,4995f5bee1c0f0b2,old_atomic_original__responses_labeled_riddle.csv__15,yes,yes,3,3,20.0,20.0,old_atomic_original__responses_labeled_riddle.csv__15,unique_prompt_id,original_850,,,,,,,,
AUD0016,old_atomic_original,responses_labeled_auto-generated.csv,astronomy,30,"Which astronomical phenomenon occurs when the Earth's shadow completely covers the Moon, causing a total lunar eclipse?",total lunar eclipse,Total lunar eclipse,not_contradiction,2,yes,yes,H1_ANNOTATOR,supported,Response is consistent with the reference answer under the explicit-contradiction review pass.,H2_ANNOTATOR,supported,Response is consistent with the reference answer in the second annotator review.,yes,H3_ADJUDICATOR,"Disagreements were resolved by comparing the prompt, reference answer, and model response using the written codebook; explicit conflicts were labeled contradiction, empty/vague outputs incomplete_or_vacuous, safe refusals abstention, and correct core answers with false extra claims unsupported_extra_claim.",supported,False,False,Response matches or directly paraphrases the reference answer.,89371d787c5923c1,66f9cd875ed44e71,7eca03d0f6e7b568,old_atomic_original__responses_labeled_auto-generated.csv__30,yes,no,3,1,1.0,1.0,old_atomic_original__responses_labeled_auto-generated.csv__30,unique_prompt_id,original_850,,,,,,,,
AUD0017,old_atomic_original,responses_labeled_riddle.csv,geography,29,Among USPS state abbreviations which comes first alphabetically?,AK,AK,not_contradiction,2,yes,yes,H1_ANNOTATOR,supported,Response is consistent with the reference answer under the explicit-contradiction review pass.,H2_ANNOTATOR,supported,Response is consistent with the reference answer in the second annotator review.,yes,H3_ADJUDICATOR,"Disagreements were resolved by comparing the prompt, reference answer, and model response using the written codebook; explicit conflicts were labeled contradiction, empty/vague outputs incomplete_or_vacuous, safe refusals abstention, and correct core answers with false extra claims unsupported_extra_claim.",supported,False,False,Response matches or directly paraphrases the reference answer.,f0b0dea6c1256ef4,3c4e58eff203b042,f55b8b95b1d9c919,old_atomic_original__responses_labeled_riddle.csv__29,yes,yes,3,3,20.0,14.0,old_atomic_original__responses_labeled_riddle.csv__29,unique_prompt_id,original_850,,,,,,,,
AUD0018,old_atomic_original,responses_labeled_factual.csv,astronomy,10,What is the annual parallax of Proxima Centauri in arcseconds?,0.7687,0.7687,not_contradiction,2,yes,yes,H1_ANNOTATOR,supported,Response is consistent with the reference answer under the explicit-contradiction review pass.,H2_ANNOTATOR,supported,Response is consistent with the reference answer in the second annotator review.,yes,H3_ADJUDICATOR,"Disagreements were resolved by comparing the prompt, reference answer, and model response using the written codebook; explicit conflicts were labeled contradiction, empty/vague outputs incomplete_or_vacuous, safe refusals abstention, and correct core answers with false extra claims unsupported_extra_claim.",supported,False,False,Numeric response is equivalent to the reference answer.,95a0a416d54dbc81,cafc888ef2d10faf,e0597725479689a3,old_atomic_original__responses_labeled_factual.csv__10,yes,yes,3,2,20.0,8.0,old_atomic_original__responses_labeled_factual.csv__10,unique_prompt_id,original_850,,,,,,,,
AUD0019,old_atomic_original,responses_labeled_riddle.csv,language,10,How many letters are used in the English alphabet for dictionary ordering?,26,26,not_contradiction,2,yes,yes,H1_ANNOTATOR,supported,Response is consistent with the reference answer under the explicit-contradiction review pass.,H2_ANNOTATOR,supported,Response is consistent with the reference answer in the second annotator review.,yes,H3_ADJUDICATOR,"Disagreements were resolved by comparing the prompt, reference answer, and model response using the written codebook; explicit conflicts were labeled contradiction, empty/vague outputs incomplete_or_vacuous, safe refusals abstention, and correct core answers with false extra claims unsupported_extra_claim.",supported,False,False,Numeric response is equivalent to the reference answer.,d8022324222fa96c,5f9c4ab08cac7457,029902d1cf42cf6b,old_atomic_original__responses_labeled_riddle.csv__10,yes,yes,3,3,20.0,20.0,old_atomic_original__responses_labeled_riddle.csv__10,unique_prompt_id,original_850,,,,,,,,
AUD0020,old_atomic_original,responses_labeled_riddle.csv,math,23,What fact explains why 2 is the only even prime?,any even number greater than 2 is divisible by 2,An even number greater than 2 is divisible by 2,not_contradiction,2,yes,yes,H1_ANNOTATOR,supported,Response is consistent with the reference answer under the explicit-contradiction review pass.,H2_ANNOTATOR,supported,Response is consistent with the reference answer in the second annotator review.,yes,H3_ADJUDICATOR,"Disagreements were resolved by comparing the prompt, reference answer, and model response using the written codebook; explicit conflicts were labeled contradiction, empty/vague outputs incomplete_or_vacuous, safe refusals abstention, and correct core answers with false extra claims unsupported_extra_claim.",supported,False,False,"Reviewed against prompt, reference, and model response; existing label remained appropriate.",4f28b1d3d81ddf77,e55835b3b42f757c,00f02a3333a69c85,old_atomic_original__responses_labeled_riddle.csv__23,yes,no,3,1,20.0,3.0,old_atomic_original__responses_labeled_riddle.csv__23,unique_prompt_id,original_850,,,,,,,,
AUD0021,old_atomic_original,responses_labeled_riddle.csv,logic,6,What theorem says a simple closed curve splits the plane into exactly two regions?,Jordan curve theorem,Jordan Curve Theorem,not_contradiction,2,yes,yes,H1_ANNOTATOR,supported,Response is consistent with the reference answer under the explicit-contradiction review pass.,H2_ANNOTATOR,supported,Response is consistent with the reference answer in the second annotator review.,yes,H3_ADJUDICATOR,"Disagreements were resolved by comparing the prompt, reference answer, and model response using the written codebook; explicit conflicts were labeled contradiction, empty/vague outputs incomplete_or_vacuous, safe refusals abstention, and correct core answers with false extra claims unsupported_extra_claim.",supported,False,False,Response matches or directly paraphrases the reference answer.,b3c6ea12f4626e16,57e14884f9cd9261,721f00b1a492df9d,old_atomic_original__responses_labeled_riddle.csv__6,yes,yes,3,3,20.0,13.0,old_atomic_original__responses_labeled_riddle.csv__6,unique_prompt_id,original_850,,,,,,,,
AUD0022,old_atomic_original,responses_labeled_auto-generated.csv,networking,41,"In the context of computer networking, what specific technique is described by the term 'silent discard'?",packet drop,3,contradiction,2,yes,yes,H1_ANNOTATOR,contradiction,Response conflicts with the reference answer under the explicit-contradiction review pass.,H2_ANNOTATOR,contradiction,Response conflicts with the reference answer in the second annotator review.,yes,H3_ADJUDICATOR,"Disagreements were resolved by comparing the prompt, reference answer, and model response using the written codebook; explicit conflicts were labeled contradiction, empty/vague outputs incomplete_or_vacuous, safe refusals abstention, and correct core answers with false extra claims unsupported_extra_claim.",contradiction,True,False,Bare numeric response does not provide the requested content or conflicts with the reference.,9728f846827538be,4e07408562bedb8b,8d80450387e55323,old_atomic_original__responses_labeled_auto-generated.csv__41,yes,no,3,1,1.0,1.0,old_atomic_original__responses_labeled_auto-generated.csv__41,unique_prompt_id,original_850,,,,,,,,
AUD0023,old_atomic_original,responses_labeled_factual.csv,literature,36,What is the original French title of In Search of Lost Time?,A la recherche du temps perdu,À la recherche du temps perdu,not_contradiction,2,yes,yes,H1_ANNOTATOR,supported,Response is consistent with the reference answer under the explicit-contradiction review pass.,H2_ANNOTATOR,supported,Response is consistent with the reference answer in the second annotator review.,yes,H3_ADJUDICATOR,"Disagreements were resolved by comparing the prompt, reference answer, and model response using the written codebook; explicit conflicts were labeled contradiction, empty/vague outputs incomplete_or_vacuous, safe refusals abstention, and correct core answers with false extra claims unsupported_extra_claim.",supported,False,False,Response matches or directly paraphrases the reference answer.,c89cf1e8b35c488d,4c7fcb0c9e8e7c1a,1c3435ca67d3627f,old_atomic_original__responses_labeled_factual.csv__36,yes,yes,3,3,20.0,20.0,old_atomic_original__responses_labeled_factual.csv__36,unique_prompt_id,original_850,,,,,,,,
AUD0024,old_atomic_original,responses_labeled_riddle.csv,history,37,US presidential election day is the Tuesday after the first Monday in November what is the earliest possible date?,November 2,November 2,not_contradiction,2,yes,yes,H1_ANNOTATOR,supported,Response is consistent with the reference answer under the explicit-contradiction review pass.,H2_ANNOTATOR,supported,Response is consistent with the reference answer in the second annotator review.,yes,H3_ADJUDICATOR,"Disagreements were resolved by comparing the prompt, reference answer, and model response using the written codebook; explicit conflicts were labeled contradiction, empty/vague outputs incomplete_or_vacuous, safe refusals abstention, and correct core answers with false extra claims unsupported_extra_claim.",supported,False,False,Response matches or directly paraphrases the reference answer.,08925b66674edaa7,7fa8972c36c9e5ae,c57d059cfb668f99,old_atomic_original__responses_labeled_riddle.csv__37,yes,yes,3,2,20.0,14.0,old_atomic_original__responses_labeled_riddle.csv__37,unique_prompt_id,original_850,,,,,,,,
AUD0025,old_atomic_original,responses_labeled_auto-generated.csv,music,31,What is the name of the musical interval that is mathematically represented by the ratio 5:4?,major third,Major third,not_contradiction,2,yes,yes,H1_ANNOTATOR,supported,Response is consistent with the reference answer under the explicit-contradiction review pass.,H2_ANNOTATOR,supported,Response is consistent with the reference answer in the second annotator review.,yes,H3_ADJUDICATOR,"Disagreements were resolved by comparing the prompt, reference answer, and model response using the written codebook; explicit conflicts were labeled contradiction, empty/vague outputs incomplete_or_vacuous, safe refusals abstention, and correct core answers with false extra claims unsupported_extra_claim.",supported,False,False,Response matches or directly paraphrases the reference answer.,446d839d27d0f008,b22e57f77d33b5a0,9d8fe2d1f1dfe31f,old_atomic_original__responses_labeled_auto-generated.csv__31,yes,no,3,1,1.0,1.0,old_atomic_original__responses_labeled_auto-generated.csv__31,unique_prompt_id,original_850,,,,,,,,
AUD0026,old_atomic_original,responses_labeled_auto-generated.csv,chemistry,14,What is the term for the hypothetical set of conditions where all three phases of matter coexist in thermodynamic equilibrium?,triple point,Triple point,not_contradiction,2,yes,yes,H1_ANNOTATOR,supported,Response is consistent with the reference answer under the explicit-contradiction review pass.,H2_ANNOTATOR,supported,Response is consistent with the reference answer in the second annotator review.,yes,H3_ADJUDICATOR,"Disagreements were resolved by comparing the prompt, reference answer, and model response using the written codebook; explicit conflicts were labeled contradiction, empty/vague outputs incomplete_or_vacuous, safe refusals abstention, and correct core answers with false extra claims unsupported_extra_claim.",supported,False,False,Response matches or directly paraphrases the reference answer.,cd0a074d122696a9,2154ab5272a18a01,92599bf51e3a579a,old_atomic_original__responses_labeled_auto-generated.csv__14,yes,no,3,1,1.0,1.0,old_atomic_original__responses_labeled_auto-generated.csv__14,unique_prompt_id,original_850,,,,,,,,
AUD0027,old_atomic_original,responses_labeled_auto-generated.csv,chemistry,12,"What specific property distinguishes the chirality of thalidomide's enantiomers, making one therapeutic and the other teratogenic?",spatial arrangement of atoms,Stereochemistry,not_contradiction,2,yes,yes,H1_ANNOTATOR,supported,Response is consistent with the reference answer under the explicit-contradiction review pass.,H2_ANNOTATOR,incomplete_or_vacuous,"Response is empty, vague, partial, or semantically inadequate in the second annotator review.",no,H3_ADJUDICATOR,"Disagreements were resolved by comparing the prompt, reference answer, and model response using the written codebook; explicit conflicts were labeled contradiction, empty/vague outputs incomplete_or_vacuous, safe refusals abstention, and correct core answers with false extra claims unsupported_extra_claim.",supported,False,False,Stereochemistry captures the spatial arrangement distinction in enantiomers.,526af8d2212a1cea,ba9964ee57b33547,b59399b805971aee,old_atomic_original__responses_labeled_auto-generated.csv__12,yes,no,3,1,1.0,1.0,old_atomic_original__responses_labeled_auto-generated.csv__12,unique_prompt_id,original_850,,,,,,,,
AUD0028,old_atomic_original,responses_labeled_factual.csv,finance,26,What is the ISO 4217 code for the Venezuelan bolívar soberano?,VES,VES,not_contradiction,2,yes,yes,H1_ANNOTATOR,supported,Response is consistent with the reference answer under the explicit-contradiction review pass.,H2_ANNOTATOR,supported,Response is consistent with the reference answer in the second annotator review.,yes,H3_ADJUDICATOR,"Disagreements were resolved by comparing the prompt, reference answer, and model response using the written codebook; explicit conflicts were labeled contradiction, empty/vague outputs incomplete_or_vacuous, safe refusals abstention, and correct core answers with false extra claims unsupported_extra_claim.",supported,False,False,Response matches or directly paraphrases the reference answer.,16aa714a0fd4bedd,5dbba90a74bc3a38,b20178aa6d89b86a,old_atomic_original__responses_labeled_factual.csv__26,yes,yes,3,2,20.0,16.0,old_atomic_original__responses_labeled_factual.csv__26,unique_prompt_id,original_850,,,,,,,,
AUD0029,old_atomic_original,responses_labeled_factual.csv,chemistry,40,What is the common name of butan 2 ol?,sec-butanol,Butanol,contradiction,2,yes,yes,H1_ANNOTATOR,supported,Codebook-based adjudication: broad but domain-relevant answer does not explicitly contradict the specific reference.,H2_ANNOTATOR,supported,Codebook-based adjudication: broad but domain-relevant answer does not explicitly contradict the specific reference.,yes,H3_ADJUDICATOR,"Disagreements were resolved by comparing the prompt, reference answer, and model response using the written codebook; explicit conflicts were labeled contradiction, empty/vague outputs incomplete_or_vacuous, safe refusals abstention, and correct core answers with false extra claims unsupported_extra_claim.",supported,False,False,Codebook-based adjudication: broad but domain-relevant answer does not explicitly contradict the specific reference.,573b5833adc4518c,52910e22f94e32c6,ec274dad49cc96ba,old_atomic_original__responses_labeled_factual.csv__40,yes,no,3,1,20.0,4.0,old_atomic_original__responses_labeled_factual.csv__40,unique_prompt_id,original_850,,,,,,,,
