prompt,model_response,is_correct
Who first detected the cosmic microwave background radiation?,Arno Penzias and Robert Wilson.,0
What is the Baudot code used for?,The Baudot code is used for telegraphy and early digital communication encoding.,0
What are the latitude and longitude (in degrees) of the Geographic South Pole?,"Latitude: 90° S, Longitude: 0°",0
Who first synthesized buckminsterfullerene (C₆₀)?,"Harold Kroto, James Heath, Sean O'Brien, Robert Curl, and Richard Smalley first synthesized buckminsterfullerene (C₆₀) in 1985.",0
State the Hardy–Weinberg equilibrium equation.,The Hardy–Weinberg equilibrium equation is \( p^2 + 2pq + q^2 = 1 \).,0
Who coined the term “Big Bang” (pejoratively)?,Fred Hoyle.,0
What is the standard atomic mass of deuterium?,The standard atomic mass of deuterium is approximately 2.014 amu (atomic mass units).,0
What does the acronym “LIDAR” stand for?,Light Detection and Ranging.,0
What is the molar mass of glucose (C₆H₁₂O₆)?,The molar mass of glucose (C₆H₁₂O₆) is 180.16 g/mol.,0
What is the Euler characteristic of a torus?,The Euler characteristic of a torus is 0.,0
Who first posed the P vs NP problem?,Stephen Cook first posed the P vs NP problem.,0
What economic measure represents the total value of goods/services produced within a nation’s borders in a year?,Gross Domestic Product (GDP).,0
What is the formal name of the 1935 U.S. “Wagner Act”?,"The formal name of the 1935 U.S. ""Wagner Act"" is the National Labor Relations Act.",0
Explain the difference between a cyclone and an anticyclone.,"A cyclone is a system of winds rotating inward to an area of low atmospheric pressure, whereas an anticyclone is a system of winds rotating outward from an area of high atmospheric pressure.",0
What was Dmitri Mendeleev’s middle name?,Ivanovich,1
In what year was Chernobyl’s New Safe Confinement completed?,2016.,0
Which stereoisomeric form (D or L) do most biological amino acids adopt?,L-form.,0
Who first formulated the Navier–Stokes equations?,Claude-Louis Navier and George Gabriel Stokes first formulated the Navier–Stokes equations.,0
What is the critical micelle concentration of sodium dodecyl sulfate (SDS) in mM?,The critical micelle concentration of sodium dodecyl sulfate (SDS) is approximately 8.2 mM.,0
What order of magnitude is the strain amplitude of gravitational waves detected by LIGO?,The strain amplitude of gravitational waves detected by LIGO is on the order of magnitude of 10^-21.,0
What is the original French title of Proust’s In Search of Lost Time?,À la recherche du temps perdu,1
What paradox demonstrates that a solid sphere can be decomposed into two identical copies of itself?,The Banach–Tarski paradox demonstrates that a solid sphere can be decomposed into two identical copies of itself.,0
What is the ISO 4217 currency code for the Venezuelan bolívar soberano?,VES,1
What is the speed of sound in dry air at 20 °C (in m/s)?,The speed of sound in dry air at 20 °C is approximately 343 m/s.,0
Write down the Euler–Lagrange equation.,The Euler–Lagrange equation is \(\frac{d}{dt}\left(\frac{\partial L}{\partial \dot{q}}\right) - \frac{\partial L}{\partial q} = 0\).,0
Who first measured the speed of light using a rotating-mirror experiment?,Léon Foucault first measured the speed of light using a rotating-mirror experiment.,0
What is the name of the galaxy cluster that contains the Milky Way?,The Local Group.,0
"For an ellipse with eccentricity 0.5, what is the ratio of its circumference to its major-axis length (approximate)?",The ratio of the circumference to the major-axis length of an ellipse with eccentricity 0.5 is approximately 3.14.,0
Who introduced the concept of the memristor?,Leon Chua introduced the concept of the memristor in 1971.,0
Draw the structural (skeletal) formula of ascorbic acid (vitamin C).,"As a text-based AI, I'm unable to draw images, but you can imagine the skeletal formula of ascorbic acid as a five-membered lactone ring with two hydroxyl groups, a double-bonded oxygen, and a carbon chain that includes an additional hydroxyl group and an enediol segment.",0
What protein complex in eukaryotes is responsible for initiating transcription?,"The protein complex responsible for initiating transcription in eukaryotes is the transcription preinitiation complex, which includes RNA polymerase II and general transcription factors like TFIID, TFIIA, TFIIB, TFIIE, TFIIF, and TFIIH.",0
What is the Sackur–Tetrode equation used to calculate?,The Sackur–Tetrode equation is used to calculate the entropy of an ideal monatomic gas.,0
What does the Derjaguin approximation estimate in colloid science?,The Derjaguin approximation estimates the interaction energy or force between curved surfaces based on the interaction between parallel flat surfaces.,0
