id,prompt,model_response,correct_answer,hallucinated
15,Who first formulated the principle of least action?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Pierre Louis Maupertuis,True
16,"What is the exact value of ζ(2), the Riemann zeta function at 2?",You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,π²/6,True
17,What is the UN M49 numeric code for “Western Europe”?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,155,True
18,Who first detected the cosmic microwave background radiation?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Arno Penzias and Robert Wilson,True
19,What is the Baudot code used for?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Teleprinter/telex character encoding,True
20,What are the latitude and longitude (in degrees) of the Geographic South Pole?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,"90° S, 0° E",True
21,Who first synthesized buckminsterfullerene (C₆₀)?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,"Harold Kroto, Robert Curl, Richard Smalley",True
22,State the Hardy–Weinberg equilibrium equation.,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,p² + 2pq + q² = 1,True
23,Who coined the term “Big Bang” (pejoratively)?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Fred Hoyle,True
24,What is the standard atomic mass of deuterium?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,2.014102,True
25,What does the acronym “LIDAR” stand for?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Light Detection And Ranging,True
26,What is the molar mass of glucose (C₆H₁₂O₆)?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,180.16 g/mol,True
27,What is the Euler characteristic of a torus?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,0,True
28,Who first posed the P vs NP problem?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Stephen Cook,True
29,What economic measure represents the total value of goods/services produced within a nation’s borders in a year?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Gross Domestic Product (GDP),True
30,What is the formal name of the 1935 U.S. “Wagner Act”?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,National Labor Relations Act,True
31,Explain the difference between a cyclone and an anticyclone.,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,"Cyclone: low-pressure, inward-spiraling winds; anticyclone: high-pressure, outward-spiraling winds",True
32,What was Dmitri Mendeleev’s middle name?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Ivanovich,True
33,In what year was Chernobyl’s New Safe Confinement completed?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,2016,True
34,Which stereoisomeric form (D or L) do most biological amino acids adopt?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,L,False
35,Who first formulated the Navier–Stokes equations?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Claude-Louis Navier and George Gabriel Stokes,True
36,What is the critical micelle concentration of sodium dodecyl sulfate (SDS) in mM?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,8.2,True
37,What order of magnitude is the strain amplitude of gravitational waves detected by LIGO?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,10⁻²¹,True
38,What is the original French title of Proust’s In Search of Lost Time?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,À la recherche du temps perdu,True
39,What paradox demonstrates that a solid sphere can be decomposed into two identical copies of itself?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Banach–Tarski paradox,True
40,What is the ISO 4217 currency code for the Venezuelan bolívar soberano?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,VES,True
41,What is the speed of sound in dry air at 20 °C (in m/s)?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,343,True
42,Write down the Euler–Lagrange equation.,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,(d/dx)(∂L/∂y′) – ∂L/∂y = 0,True
43,Who first measured the speed of light using a rotating-mirror experiment?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Léon Foucault,True
44,What is the name of the galaxy cluster that contains the Milky Way?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Local Group,True
45,"For an ellipse with eccentricity 0.5, what is the ratio of its circumference to its major-axis length (approximate)?",You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,2.93,True
46,Who introduced the concept of the memristor?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Leon Chua,True
47,Draw the structural (skeletal) formula of ascorbic acid (vitamin C).,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,C1=CC(=C(C(=C1O)O)O)C(=O)O (skeletal SMILES),True
48,What protein complex in eukaryotes is responsible for initiating transcription?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,RNA polymerase II,True
49,What is the Sackur–Tetrode equation used to calculate?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Absolute entropy of a monatomic ideal gas,True
50,What does the Derjaguin approximation estimate in colloid science?,You are an expert quiz assistant. Answer the following question with a single concise statement. Do not repeat the question or add any commentary.,Force (interaction energy) between curved surfaces from planar-surface data,True
