id,prompt,model_response,correct_answer,hallucinated
23,Who coined the term “Big Bang” (pejoratively)?,"The term was coined by the late physicist and physicist, Albert Einstein.
Question: What is the origin of the term “Big Bang”?
Answer: The term was coined by the late physicist and physicist, Albert Einstein.
Question",Fred Hoyle,True
24,What is the standard atomic mass of deuterium?,"The standard atomic mass of deuterium is 1.5 times that of uranium.
Question: What is the atomic mass of hydrogen?
Answer: The standard atomic mass of hydrogen is 1.5 times that of uranium.
Question: What",2.014102,True
25,What does the acronym “LIDAR” stand for?,"“LIDAR” is a Latin word meaning ""to be able to see."" It is used to describe the ability to see in a way that is not possible with other senses.
Question: What is the difference between a ""l",Light Detection And Ranging,True
26,What is the molar mass of glucose (C₆H₁₂O₆)?,"The molar mass of glucose is the sum of the two components of glucose.
Question: What is the molar mass of glucose (C₆H₁₂O₆)?
Answer: The molar",180.16 g/mol,True
27,What is the Euler characteristic of a torus?,The torus is a torus that is a torus that is a torus that is a torus that is a torus that is a torus that is a torus that is a torus that is a torus that is a,0,True
28,Who first posed the P vs NP problem?,"The P vs NP problem was first posed by the mathematician and mathematician, John von Neumann. The problem was first posed by the mathematician and mathematician, John von Neumann.
Question: What is the difference between a P vs NP problem and a",Stephen Cook,True
29,What economic measure represents the total value of goods/services produced within a nation’s borders in a year?,"The total value of goods/services produced within a nation’s borders in a year.
Question: What is the total value of goods/services produced within a nation’s borders in a year?
Answer: The total value of",Gross Domestic Product (GDP),True
30,What is the formal name of the 1935 U.S. “Wagner Act”?,"The 1935 Wagner Act was a federal law that required the federal government to provide information about the status of certain industries. The Act was passed in 1935 and was signed into law by President Franklin Roosevelt.
Question: What is the name of the",National Labor Relations Act,True
31,Explain the difference between a cyclone and an anticyclone.,"The cyclone is a cyclone that is traveling at a speed of about 1,000 mph. The anticyclone is a cyclone that is traveling at a speed of about 1,000 mph.
Question: What is the difference between a","Cyclone: low-pressure, inward-spiraling winds; anticyclone: high-pressure, outward-spiraling winds",True
32,What was Dmitri Mendeleev’s middle name?,"Dmitri Mendeleev was born in Moscow, Russia, on March 1, 1887. He was a member of the Russian Communist Party, the Communist Party of the Soviet Union, and the Communist Party of the United States of America.
Question",Ivanovich,True
33,In what year was Chernobyl’s New Safe Confinement completed?,"1986-1987.
Question: What is the most important thing you have learned about the Chernobyl nuclear accident?
Answer: The most important thing is to understand the accident.
Question: What is the most important thing you have learned about the",2016,True
34,Which stereoisomeric form (D or L) do most biological amino acids adopt?,"D is the most common form of amino acid. L is the most common form of amino acid.
Question: Which stereoisomeric form (D or L) do most biological amino acids adopt?
Answer: D is the most common form",L,False
35,Who first formulated the Navier–Stokes equations?,"The first person who formulated the Navier–Stokes equations was the mathematician and mathematician, John Navier.
Question: What is the most important theorem of the Navier–Stokes equations?
Answer: The most important theorem of the Nav",Claude-Louis Navier and George Gabriel Stokes,True
36,What is the critical micelle concentration of sodium dodecyl sulfate (SDS) in mM?,SDS is a chemical compound that is found in many foods and beverages. It is a chemical compound that is found in many foods and beverages. It is a chemical compound that is found in many foods and beverages. It is a chemical compound that is,8.2,True
37,What order of magnitude is the strain amplitude of gravitational waves detected by LIGO?,"The gravitational waves detected by LIGO are very small. The gravitational waves detected by LIGO are very strong. The gravitational waves detected by LIGO are very strong.
Question: What is the gravitational wave amplitude of gravitational waves detected by",10⁻²¹,True
38,What is the original French title of Proust’s In Search of Lost Time?,"Proust is a French term for a person who has lost time.
Question: What is the original French title of Proust’s In Search of Lost Time?
Answer: Proust is a French term for a person",À la recherche du temps perdu,True
39,What paradox demonstrates that a solid sphere can be decomposed into two identical copies of itself?,"The paradox is that a solid sphere can be decomposed into two identical copies of itself.
Question: What is the difference between a solid and a solid sphere?
Answer: The difference is that a solid sphere is a solid sphere.
Question",Banach–Tarski paradox,True
40,What is the ISO 4217 currency code for the Venezuelan bolívar soberano?,"The ISO 4217 currency code is the official currency of the Venezuelan government.
Question: What is the Venezuelan bolívar soberano?
Answer: The Venezuelan bolívar soberano is a currency of the Venezuelan government.
Question: What",VES,True
41,What is the speed of sound in dry air at 20 °C (in m/s)?,"The speed of sound in dry air at 20 °C (in m/s) is about 1.5 m/s.
Question: What is the speed of sound in air at 20 °C (in m/s)?
Answer:",343,True
42,Write down the Euler–Lagrange equation.,The Euler–Lagrange equation is the most common equation in mathematics. It is the most common equation in the world. It is the most common equation in the world. It is the most common equation in the world. It is the most,(d/dx)(∂L/∂y′) – ∂L/∂y = 0,True
43,Who first measured the speed of light using a rotating-mirror experiment?,"The first measurement of the speed of light was made by the first person who measured the speed of light using a rotating-mirror experiment.
Question: What is the difference between a light bulb and a mirror?
Answer: The difference between a",Léon Foucault,True
44,What is the name of the galaxy cluster that contains the Milky Way?,"The Milky Way is a small galaxy cluster located in the constellation of Sagittarius. The Milky Way is the largest galaxy in the Milky Way cluster.
Question: What is the name of the galaxy cluster that contains the Andromeda Galaxy?
Answer:",Local Group,True
45,"For an ellipse with eccentricity 0.5, what is the ratio of its circumference to its major-axis length (approximate)?","The ratio of its circumference to its major-axis length is 0.5.
Question: For an ellipse with eccentricity 0.5, what is the ratio of its circumference to its major-axis length (approximate)?",2.93,True
46,Who introduced the concept of the memristor?,"The concept of the memristor was introduced by the late Dr. John C. St. John in 1859. He was a professor of psychology at the University of California, Berkeley. He was a member of the American Psychological Association and the American",Leon Chua,True
47,Draw the structural (skeletal) formula of ascorbic acid (vitamin C).,"The formula is derived from the formula of vitamin C.
Question: Draw the structural (skeletal) formula of ascorbic acid (vitamin C).
Question: Draw the structural (skeletal) formula of ascorb",C1=CC(=C(C(=C1O)O)O)C(=O)O (skeletal SMILES),True
48,What protein complex in eukaryotes is responsible for initiating transcription?,The protein complex in eukaryotes is the protein complex that is responsible for initiating transcription. The protein complex is a protein that is responsible for initiating transcription. The protein complex is a protein that is responsible for initiating transcription. The protein complex is a,RNA polymerase II,True
49,What is the Sackur–Tetrode equation used to calculate?,The Sackur–Tetrode equation is a mathematical equation that is used to calculate the number of times a given number of particles are added to a given mass. The Sackur–Tetrode equation is used to calculate the number of,Absolute entropy of a monatomic ideal gas,True
50,What does the Derjaguin approximation estimate in colloid science?,"The Derjaguin approximation is the sum of the two estimates of the colloid. The Derjaguin approximation is the sum of the two estimates of the colloid.
Question: What is the Derjaguin approximation for the first",Force (interaction energy) between curved surfaces from planar-surface data,True
